Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Delay,Discount Binned,Discounted Revenue,Profit Margin,Order Month,Order Quarter,Order DayOfWeek,Order Year,Is Holiday Week
Standard Class,Corporate,Richmond,Kentucky,40475,South,Office Supplies,Paper,5.78,1,0.0,2.8322,4,No Discount,5.78,0.49,November,4,Monday,2017,No
Second Class,Consumer,Aurora,Colorado,80013,West,Office Supplies,Binders,4.896,3,0.7,-3.4272,3,41-100%,1.4688,-0.7,November,4,Friday,2015,No
Second Class,Consumer,Fairfield,Connecticut,6824,East,Office Supplies,Binders,88.08,6,0.0,40.5168,4,No Discount,88.08,0.46,December,4,Thursday,2016,No
Standard Class,Consumer,Los Angeles,California,90049,West,Technology,Machines,1919.976,3,0.2,215.9973,7,11-20%,1535.9808,0.1125,January,1,Friday,2015,No
Standard Class,Corporate,New York City,New York,10024,East,Furniture,Tables,1579.746,7,0.4,-447.5947,4,31-40%,947.8476,-0.283333333,March,1,Monday,2014,No
Standard Class,Consumer,Chicago,Illinois,60623,Central,Office Supplies,Paper,15.552,3,0.2,5.4432,6,11-20%,12.4416,0.35,December,4,Friday,2014,No
First Class,Corporate,Tucson,Arizona,85705,West,Technology,Phones,201.584,2,0.2,15.1188,1,11-20%,161.2672,0.075,November,4,Friday,2017,No
First Class,Consumer,Charlotte,North Carolina,28205,South,Office Supplies,Art,12.672,9,0.2,1.4256,2,11-20%,10.1376,0.1125,December,4,Monday,2017,No
Standard Class,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Paper,16.096,2,0.2,5.2312,5,11-20%,12.8768,0.325,July,3,Tuesday,2017,No
First Class,Corporate,Colorado Springs,Colorado,80906,West,Furniture,Furnishings,300.416,8,0.2,78.8592,2,11-20%,240.3328,0.2625,December,4,Friday,2014,No
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Art,64.14,3,0.0,16.6764,6,No Discount,64.14,0.26,June,2,Monday,2017,No
Standard Class,Corporate,Los Angeles,California,90032,West,Office Supplies,Binders,81.792,6,0.2,26.5824,7,11-20%,65.4336,0.325,September,3,Monday,2015,No
Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Binders,17.88,3,0.2,5.5875,5,11-20%,14.304,0.3125,December,4,Sunday,2017,Yes
Same Day,Corporate,Seattle,Washington,98103,West,Furniture,Tables,283.56,4,0.0,45.3696,0,No Discount,283.56,0.16,September,3,Friday,2017,No
Standard Class,Corporate,Seattle,Washington,98115,West,Office Supplies,Storage,92.52,6,0.0,24.9804,4,No Discount,92.52,0.27,September,3,Friday,2014,No
Same Day,Consumer,Cleveland,Ohio,44105,East,Technology,Accessories,58.112,2,0.2,7.264,0,11-20%,46.4896,0.125,May,2,Sunday,2016,No
Second Class,Consumer,New York City,New York,10011,East,Office Supplies,Art,59.1,6,0.0,22.458,5,No Discount,59.1,0.38,March,1,Friday,2017,No
Second Class,Consumer,Richmond,Virginia,23223,South,Furniture,Tables,292.1,2,0.0,58.42,2,No Discount,292.1,0.2,March,1,Monday,2017,No
Second Class,Consumer,Seattle,Washington,98115,West,Office Supplies,Paper,26.2,4,0.0,12.052,5,No Discount,26.2,0.46,July,3,Thursday,2017,No
Second Class,Consumer,Knoxville,Tennessee,37918,South,Office Supplies,Appliances,87.168,2,0.2,8.7168,3,11-20%,69.7344,0.1,September,3,Sunday,2016,No
Standard Class,Consumer,Midland,Michigan,48640,Central,Office Supplies,Binders,12.72,3,0.0,6.36,4,No Discount,12.72,0.5,November,4,Friday,2014,No
Standard Class,Corporate,San Diego,California,92105,West,Furniture,Chairs,63.936,3,0.2,6.3936,5,11-20%,51.1488,0.1,April,2,Sunday,2015,No
Standard Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Paper,189.7,5,0.0,89.159,6,No Discount,189.7,0.47,December,4,Tuesday,2016,No
Same Day,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,11.352,3,0.2,4.1151,0,11-20%,9.0816,0.3625,November,4,Monday,2015,No
Standard Class,Consumer,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,26.94,3,0.0,11.3148,4,No Discount,26.94,0.42,May,2,Thursday,2016,No
Same Day,Consumer,Seattle,Washington,98103,West,Office Supplies,Supplies,7.3,2,0.0,2.19,0,No Discount,7.3,0.3,September,3,Saturday,2014,No
Standard Class,Home Office,Waterbury,Connecticut,6708,East,Technology,Accessories,99.99,1,0.0,41.9958,4,No Discount,99.99,0.42,April,2,Monday,2017,No
Same Day,Consumer,Glendale,Arizona,85301,West,Furniture,Chairs,933.536,4,0.2,105.0228,0,11-20%,746.8288,0.1125,April,2,Thursday,2016,No
Standard Class,Home Office,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,217.056,7,0.2,78.6828,4,11-20%,173.6448,0.3625,November,4,Sunday,2016,No
Standard Class,Consumer,Jacksonville,North Carolina,28540,South,Office Supplies,Supplies,12.768,2,0.2,1.4364,6,11-20%,10.2144,0.1125,October,4,Friday,2016,No
Standard Class,Corporate,Houston,Texas,77070,Central,Office Supplies,Paper,31.872,8,0.2,11.5536,4,11-20%,25.4976,0.3625,September,3,Friday,2017,No
First Class,Corporate,Pueblo,Colorado,81001,West,Office Supplies,Art,3.408,1,0.2,0.8946,2,11-20%,2.7264,0.2625,March,1,Sunday,2015,No
Second Class,Corporate,Louisville,Colorado,80027,West,Office Supplies,Fasteners,9.432,3,0.2,3.0654,5,11-20%,7.5456,0.325,February,1,Monday,2017,No
Second Class,Consumer,Los Angeles,California,90045,West,Furniture,Tables,241.568,2,0.2,-15.098,4,11-20%,193.2544,-0.0625,April,2,Monday,2015,No
Standard Class,Consumer,Long Beach,New York,11561,East,Office Supplies,Art,11.68,2,0.0,5.4896,5,No Discount,11.68,0.47,August,3,Monday,2017,No
Second Class,Corporate,New York City,New York,10024,East,Office Supplies,Storage,64.96,4,0.0,9.744,3,No Discount,64.96,0.15,February,1,Friday,2014,No
Standard Class,Consumer,Eau Claire,Wisconsin,54703,Central,Furniture,Bookcases,405.86,7,0.0,32.4688,4,No Discount,405.86,0.08,December,4,Thursday,2016,No
Standard Class,Consumer,San Diego,California,92037,West,Office Supplies,Art,35.1,6,0.0,10.179,4,No Discount,35.1,0.29,May,2,Tuesday,2017,No
Second Class,Home Office,Los Angeles,California,90004,West,Office Supplies,Paper,61.96,2,0.0,27.882,2,No Discount,61.96,0.45,April,2,Saturday,2015,No
Standard Class,Home Office,Columbus,Georgia,31907,South,Office Supplies,Paper,19.36,2,0.0,9.2928,5,No Discount,19.36,0.48,May,2,Wednesday,2016,No
Standard Class,Home Office,Newark,Delaware,19711,East,Office Supplies,Art,8.64,3,0.0,2.5056,6,No Discount,8.64,0.29,August,3,Tuesday,2014,No
Standard Class,Corporate,Cary,North Carolina,27511,South,Office Supplies,Paper,10.368,2,0.2,3.6288,5,11-20%,8.2944,0.35,September,3,Friday,2014,No
First Class,Consumer,Seattle,Washington,98115,West,Furniture,Chairs,614.272,8,0.2,-23.0352,3,11-20%,491.4176,-0.0375,October,4,Monday,2017,No
Same Day,Consumer,Orange,New Jersey,7050,East,Office Supplies,Art,70.95,3,0.0,18.447,0,No Discount,70.95,0.26,September,3,Thursday,2017,No
First Class,Corporate,Seattle,Washington,98115,West,Office Supplies,Binders,2033.584,2,0.2,762.594,2,11-20%,1626.8672,0.375,November,4,Tuesday,2014,No
Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Binders,24.672,4,0.2,7.71,5,11-20%,19.7376,0.3125,August,3,Thursday,2017,No
Standard Class,Consumer,Tucson,Arizona,85705,West,Technology,Accessories,1023.936,8,0.2,179.1888,4,11-20%,819.1488,0.175,July,3,Wednesday,2014,No
Standard Class,Corporate,Newark,Delaware,19711,East,Office Supplies,Storage,465.18,3,0.0,120.9468,6,No Discount,465.18,0.26,January,1,Monday,2015,No
First Class,Home Office,Minneapolis,Minnesota,55407,Central,Office Supplies,Envelopes,15.28,2,0.0,7.4872,3,No Discount,15.28,0.49,November,4,Tuesday,2017,No
Standard Class,Corporate,Haltom City,Texas,76117,Central,Office Supplies,Envelopes,6.608,2,0.2,2.1476,7,11-20%,5.2864,0.325,November,4,Tuesday,2015,No
Standard Class,Consumer,Dallas,Texas,75220,Central,Office Supplies,Binders,1.08,3,0.8,-1.728,5,41-100%,0.216,-1.6,February,1,Sunday,2014,No
Standard Class,Corporate,Chico,California,95928,West,Office Supplies,Appliances,15.8,4,0.0,4.108,5,No Discount,15.8,0.26,October,4,Thursday,2017,No
First Class,Corporate,Dallas,Texas,75220,Central,Office Supplies,Paper,36.288,7,0.2,12.7008,3,11-20%,29.0304,0.35,November,4,Thursday,2017,Yes
Standard Class,Corporate,Springfield,Missouri,65807,Central,Office Supplies,Binders,81.96,2,0.0,39.3408,4,No Discount,81.96,0.48,November,4,Thursday,2016,No
Second Class,Consumer,Frisco,Texas,75034,Central,Furniture,Furnishings,30.336,6,0.6,-17.4432,3,41-100%,12.1344,-0.575,June,2,Sunday,2017,No
Second Class,Consumer,New York City,New York,10024,East,Technology,Phones,135.99,1,0.0,36.7173,2,No Discount,135.99,0.27,July,3,Saturday,2015,No
Standard Class,Corporate,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,98.16,6,0.0,9.816,4,No Discount,98.16,0.1,September,3,Friday,2017,No
Second Class,Corporate,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466,3,No Discount,826.62,0.43,November,4,Thursday,2017,No
Standard Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Paper,11.96,2,0.0,5.8604,6,No Discount,11.96,0.49,May,2,Tuesday,2016,No
Standard Class,Consumer,Midland,Michigan,48640,Central,Office Supplies,Storage,62.94,3,0.0,11.9586,6,No Discount,62.94,0.19,November,4,Monday,2014,No
Second Class,Consumer,Memphis,Tennessee,38109,South,Furniture,Tables,189.882,3,0.4,-94.941,3,31-40%,113.9292,-0.5,March,1,Friday,2016,No
Standard Class,Home Office,New York City,New York,10035,East,Office Supplies,Art,11.96,2,0.0,3.1096,4,No Discount,11.96,0.26,August,3,Tuesday,2015,No
Standard Class,Corporate,Jacksonville,Florida,32216,South,Furniture,Chairs,64.784,1,0.2,-12.147,6,11-20%,51.8272,-0.1875,December,4,Monday,2017,No
Same Day,Home Office,Jonesboro,Arkansas,72401,South,Office Supplies,Binders,9.54,3,0.0,4.3884,0,No Discount,9.54,0.46,June,2,Sunday,2017,No
Second Class,Consumer,New York City,New York,10024,East,Office Supplies,Paper,108.92,14,0.0,49.014,3,No Discount,108.92,0.45,March,1,Tuesday,2014,No
Standard Class,Consumer,Atlanta,Georgia,30318,South,Furniture,Bookcases,1628.82,9,0.0,374.6286,4,No Discount,1628.82,0.23,May,2,Friday,2017,No
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,19.96,2,0.0,5.5888,6,No Discount,19.96,0.28,October,4,Friday,2016,No
Standard Class,Corporate,San Francisco,California,94110,West,Technology,Phones,191.976,3,0.2,19.1976,4,11-20%,153.5808,0.1,December,4,Monday,2014,No
Standard Class,Consumer,Richmond,Virginia,23223,South,Office Supplies,Binders,15.6,5,0.0,7.644,5,No Discount,15.6,0.49,July,3,Friday,2014,Yes
Standard Class,Corporate,Charlotte,North Carolina,28205,South,Technology,Copiers,959.968,4,0.2,119.996,5,11-20%,767.9744,0.125,January,1,Monday,2016,No
Same Day,Corporate,Manchester,Connecticut,6040,East,Office Supplies,Binders,23.2,4,0.0,10.44,0,No Discount,23.2,0.45,October,4,Friday,2016,No
Standard Class,Corporate,Linden,New Jersey,7036,East,Technology,Accessories,115.36,7,0.0,49.6048,5,No Discount,115.36,0.43,February,1,Friday,2014,No
Standard Class,Consumer,Chicago,Illinois,60623,Central,Technology,Phones,323.976,3,0.2,36.4473,6,11-20%,259.1808,0.1125,December,4,Friday,2014,No
Second Class,Consumer,Oceanside,New York,11572,East,Office Supplies,Storage,244.55,5,0.0,4.891,5,No Discount,244.55,0.02,November,4,Monday,2015,No
Standard Class,Home Office,Bloomington,Indiana,47401,Central,Office Supplies,Storage,169.45,5,0.0,42.3625,5,No Discount,169.45,0.25,November,4,Sunday,2014,No
Second Class,Corporate,Provo,Utah,84604,West,Office Supplies,Paper,164.88,3,0.0,80.7912,4,No Discount,164.88,0.49,September,3,Sunday,2017,No
Same Day,Consumer,Austin,Texas,78745,Central,Technology,Accessories,95.736,3,0.2,20.3439,0,11-20%,76.5888,0.2125,April,2,Monday,2017,No
Second Class,Consumer,Columbus,Ohio,43229,East,Furniture,Furnishings,8.32,5,0.2,2.288,5,11-20%,6.656,0.275,March,1,Tuesday,2014,No
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,32.4,5,0.0,15.552,5,No Discount,32.4,0.48,November,4,Monday,2016,No
Standard Class,Home Office,Paterson,New Jersey,7501,East,Office Supplies,Labels,31.05,3,0.0,14.904,7,No Discount,31.05,0.48,September,3,Friday,2015,No
Standard Class,Corporate,Long Beach,California,90805,West,Office Supplies,Fasteners,7.16,2,0.0,3.58,5,No Discount,7.16,0.5,September,3,Friday,2014,No
Standard Class,Corporate,Leominster,Massachusetts,1453,East,Office Supplies,Paper,10.95,3,0.0,5.1465,4,No Discount,10.95,0.47,November,4,Thursday,2015,Yes
Same Day,Consumer,Santa Ana,California,92704,West,Furniture,Furnishings,18.28,2,0.0,6.2152,0,No Discount,18.28,0.34,May,2,Sunday,2017,No
Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Paper,25.92,4,0.0,12.4416,5,No Discount,25.92,0.48,November,4,Thursday,2014,No
Second Class,Corporate,Clinton,Maryland,20735,East,Furniture,Chairs,272.97,3,0.0,43.6752,2,No Discount,272.97,0.16,November,4,Tuesday,2017,No
Second Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Binders,6.88,1,0.2,2.322,2,11-20%,5.504,0.3375,September,3,Saturday,2017,No
Standard Class,Corporate,Austin,Texas,78745,Central,Office Supplies,Fasteners,2.896,2,0.2,0.4706,5,11-20%,2.3168,0.1625,July,3,Saturday,2017,No
Second Class,Consumer,Cleveland,Ohio,44105,East,Office Supplies,Art,18.656,2,0.2,1.6324,2,11-20%,14.9248,0.0875,March,1,Thursday,2016,No
Same Day,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Art,19.456,4,0.2,2.1888,0,11-20%,15.5648,0.1125,March,1,Monday,2017,No
Standard Class,Home Office,Carlsbad,New Mexico,88220,West,Office Supplies,Supplies,16.68,2,0.0,4.3368,5,No Discount,16.68,0.26,June,2,Friday,2017,No
First Class,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,113.372,2,0.3,-29.1528,1,21-30%,79.3604,-0.257142857,September,3,Thursday,2017,No
First Class,Corporate,Los Angeles,California,90008,West,Office Supplies,Fasteners,22.55,5,0.0,8.7945,2,No Discount,22.55,0.39,December,4,Friday,2014,No
Standard Class,Home Office,New York City,New York,10035,East,Office Supplies,Binders,25.32,5,0.2,9.1785,5,11-20%,20.256,0.3625,March,1,Monday,2014,No
First Class,Corporate,San Francisco,California,94109,West,Technology,Accessories,99.98,2,0.0,7.9984,2,No Discount,99.98,0.08,November,4,Monday,2014,No
Standard Class,Corporate,Boise,Idaho,83704,West,Technology,Phones,304.776,3,0.2,22.8582,4,11-20%,243.8208,0.075,November,4,Monday,2015,No
First Class,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.025,1,0.7,-1.35,1,41-100%,0.6075,-0.666666667,July,3,Sunday,2015,No
Standard Class,Consumer,Yonkers,New York,10701,East,Office Supplies,Binders,10.896,3,0.2,3.9498,7,11-20%,8.7168,0.3625,May,2,Saturday,2014,No
Standard Class,Home Office,Jackson,Michigan,49201,Central,Office Supplies,Art,3.64,2,0.0,1.0192,4,No Discount,3.64,0.28,December,4,Tuesday,2015,No
Second Class,Consumer,Mesa,Arizona,85204,West,Furniture,Chairs,441.92,2,0.2,49.716,5,11-20%,353.536,0.1125,July,3,Tuesday,2015,No
Second Class,Corporate,Newark,Ohio,43055,East,Furniture,Chairs,760.116,6,0.3,-43.4352,2,21-30%,532.0812,-0.057142857,June,2,Monday,2017,No
Second Class,Corporate,Henderson,Kentucky,42420,South,Furniture,Chairs,975.92,4,0.0,292.776,3,No Discount,975.92,0.3,November,4,Thursday,2017,No
Second Class,Corporate,Pasadena,Texas,77506,Central,Office Supplies,Art,20.64,5,0.2,2.322,4,11-20%,16.512,0.1125,October,4,Tuesday,2017,No
Standard Class,Consumer,Apple Valley,California,92307,West,Furniture,Chairs,563.92,5,0.2,7.049,7,11-20%,451.136,0.0125,December,4,Friday,2016,No
Standard Class,Consumer,Dallas,Texas,75217,Central,Office Supplies,Fasteners,15.072,4,0.2,-3.768,4,11-20%,12.0576,-0.25,October,4,Friday,2014,No
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Binders,9.296,2,0.2,3.0212,5,11-20%,7.4368,0.325,November,4,Thursday,2016,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19134,East,Furniture,Tables,67.176,1,0.4,-20.1528,4,31-40%,40.3056,-0.3,September,3,Monday,2014,No
Standard Class,Corporate,New York City,New York,10009,East,Office Supplies,Paper,111.96,2,0.0,54.8604,4,No Discount,111.96,0.49,October,4,Friday,2016,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19120,East,Technology,Machines,206.991,3,0.7,-172.4925,4,41-100%,62.0973,-0.833333333,June,2,Saturday,2014,No
Second Class,Consumer,Pocatello,Idaho,83201,West,Office Supplies,Binders,17.04,3,0.2,5.538,2,11-20%,13.632,0.325,March,1,Saturday,2016,No
Second Class,Consumer,Buffalo,New York,14215,East,Office Supplies,Art,2.78,2,0.0,0.7228,2,No Discount,2.78,0.26,October,4,Saturday,2015,No
Standard Class,Consumer,Dallas,Texas,75220,Central,Office Supplies,Binders,6.744,4,0.8,-11.4648,4,41-100%,1.3488,-1.7,August,3,Friday,2017,No
Standard Class,Corporate,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,5,No Discount,14.62,0.47,July,3,Thursday,2017,No
First Class,Corporate,Mobile,Alabama,36608,South,Office Supplies,Paper,70.98,7,0.0,34.7802,3,No Discount,70.98,0.49,November,4,Saturday,2016,No
Second Class,Consumer,Philadelphia,Pennsylvania,19140,East,Technology,Phones,39.594,1,0.4,-7.2589,4,31-40%,23.7564,-0.183333333,July,3,Thursday,2017,No
Second Class,Corporate,Ann Arbor,Michigan,48104,Central,Technology,Accessories,619.95,5,0.0,111.591,3,No Discount,619.95,0.18,October,4,Friday,2015,No
Same Day,Consumer,Columbus,Ohio,43229,East,Furniture,Furnishings,51.264,6,0.2,7.6896,0,11-20%,41.0112,0.15,March,1,Thursday,2017,No
Second Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,47.52,9,0.0,22.8096,5,No Discount,47.52,0.48,September,3,Saturday,2017,No
Standard Class,Corporate,Fort Worth,Texas,76106,Central,Technology,Phones,21.072,3,0.2,1.5804,5,11-20%,16.8576,0.075,March,1,Monday,2016,No
First Class,Corporate,Anaheim,California,92804,West,Furniture,Furnishings,44.67,3,0.0,12.0609,2,No Discount,44.67,0.27,September,3,Sunday,2015,No
Standard Class,Consumer,Rochester,New York,14609,East,Office Supplies,Binders,6.096,2,0.2,2.0574,5,11-20%,4.8768,0.3375,May,2,Thursday,2015,No
Standard Class,Corporate,Nashville,Tennessee,37211,South,Technology,Phones,239.976,3,0.2,26.9973,5,11-20%,191.9808,0.1125,June,2,Thursday,2017,No
Second Class,Consumer,Yonkers,New York,10701,East,Office Supplies,Supplies,18.62,2,0.0,5.3998,3,No Discount,18.62,0.29,March,1,Wednesday,2014,No
Second Class,Home Office,Dallas,Texas,75220,Central,Furniture,Furnishings,15.008,4,0.6,-12.0064,5,41-100%,6.0032,-0.8,September,3,Friday,2016,No
Second Class,Consumer,Columbia,Missouri,65203,Central,Office Supplies,Binders,51.9,3,0.0,24.393,4,No Discount,51.9,0.47,February,1,Tuesday,2014,No
Standard Class,Consumer,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48,5,41-100%,2.5984,-2.5,February,1,Thursday,2017,No
Standard Class,Consumer,Seattle,Washington,98105,West,Furniture,Furnishings,139.58,7,0.0,39.0824,5,No Discount,139.58,0.28,April,2,Thursday,2017,No
Standard Class,Consumer,San Francisco,California,94110,West,Furniture,Bookcases,307.666,2,0.15,-14.4784,6,11-20%,261.5161,-0.047058824,October,4,Saturday,2017,No
Second Class,Consumer,Layton,Utah,84041,West,Office Supplies,Fasteners,4.96,4,0.0,2.3312,4,No Discount,4.96,0.47,June,2,Monday,2015,No
Standard Class,Home Office,Hot Springs,Arkansas,71901,South,Furniture,Furnishings,159.92,4,0.0,31.984,7,No Discount,159.92,0.2,April,2,Friday,2016,No
First Class,Consumer,Philadelphia,Pennsylvania,19120,East,Technology,Phones,683.988,2,0.4,-113.998,2,31-40%,410.3928,-0.166666667,July,3,Friday,2017,No
Standard Class,Corporate,Columbus,Georgia,31907,South,Technology,Accessories,66.36,4,0.0,23.226,7,No Discount,66.36,0.35,September,3,Saturday,2015,No
Standard Class,Consumer,Wilmington,North Carolina,28403,South,Office Supplies,Appliances,28.08,3,0.2,5.265,4,11-20%,22.464,0.1875,April,2,Friday,2017,No
Standard Class,Corporate,Seattle,Washington,98103,West,Office Supplies,Storage,1117.92,4,0.0,55.896,7,No Discount,1117.92,0.05,December,4,Friday,2016,No
Standard Class,Consumer,Salem,Oregon,97301,West,Technology,Phones,84.784,2,0.2,-20.1362,4,11-20%,67.8272,-0.2375,March,1,Sunday,2016,No
First Class,Consumer,Mission Viejo,California,92691,West,Furniture,Bookcases,290.666,2,0.15,3.4196,2,11-20%,247.0661,0.011764706,January,1,Friday,2014,No
Second Class,Corporate,Lowell,Massachusetts,1852,East,Office Supplies,Paper,166.44,3,0.0,79.8912,3,No Discount,166.44,0.48,September,3,Tuesday,2014,No
Standard Class,Home Office,Richmond,Kentucky,40475,South,Office Supplies,Binders,2.88,1,0.0,1.4112,6,No Discount,2.88,0.49,November,4,Friday,2017,Yes
Second Class,Home Office,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,4,11-20%,23.5776,0.3375,October,4,Thursday,2017,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4,41-100%,2.8854,-0.733333333,September,3,Thursday,2015,No
First Class,Consumer,Abilene,Texas,79605,Central,Office Supplies,Appliances,1.392,2,0.8,-3.7584,2,41-100%,0.2784,-2.7,December,4,Monday,2017,No
Second Class,Home Office,Danville,California,94526,West,Furniture,Furnishings,25.02,3,0.0,10.5084,2,No Discount,25.02,0.42,November,4,Thursday,2017,No
Second Class,Consumer,Kent,Ohio,44240,East,Technology,Phones,107.982,3,0.4,-26.9955,3,31-40%,64.7892,-0.25,January,1,Friday,2017,No
Same Day,Consumer,New York City,New York,10009,East,Technology,Phones,287.97,3,0.0,80.6316,0,No Discount,287.97,0.28,September,3,Sunday,2014,No
Standard Class,Corporate,Toledo,Ohio,43615,East,Office Supplies,Binders,166.92,13,0.7,-116.844,5,41-100%,50.076,-0.7,November,4,Sunday,2015,No
Standard Class,Consumer,New Rochelle,New York,10801,East,Technology,Accessories,149.95,5,0.0,14.995,6,No Discount,149.95,0.1,June,2,Tuesday,2017,No
Second Class,Corporate,Chicago,Illinois,60623,Central,Technology,Phones,49.616,2,0.2,4.9616,3,11-20%,39.6928,0.1,March,1,Tuesday,2017,No
Standard Class,Home Office,New York City,New York,10009,East,Office Supplies,Appliances,68.94,3,0.0,20.682,4,No Discount,68.94,0.3,July,3,Thursday,2015,No
Standard Class,Home Office,Houston,Texas,77070,Central,Office Supplies,Storage,228.92,5,0.2,14.3075,5,11-20%,183.136,0.0625,June,2,Friday,2015,No
First Class,Corporate,Chicago,Illinois,60653,Central,Office Supplies,Art,6.912,3,0.2,0.864,2,11-20%,5.5296,0.125,September,3,Monday,2017,Yes
Standard Class,Consumer,San Francisco,California,94122,West,Technology,Phones,575.92,2,0.2,71.99,7,11-20%,460.736,0.125,November,4,Saturday,2014,No
Standard Class,Consumer,Knoxville,Tennessee,37918,South,Furniture,Chairs,218.376,3,0.2,-10.9188,4,11-20%,174.7008,-0.05,March,1,Friday,2014,No
Standard Class,Corporate,Dallas,Texas,75217,Central,Office Supplies,Paper,41.92,4,0.2,15.196,6,11-20%,33.536,0.3625,September,3,Tuesday,2016,No
Standard Class,Corporate,Clinton,Maryland,20735,East,Office Supplies,Binders,65.08,4,0.0,31.8892,5,No Discount,65.08,0.49,September,3,Friday,2015,No
Standard Class,Corporate,Greensboro,North Carolina,27405,South,Office Supplies,Binders,12.06,5,0.7,-10.05,7,41-100%,3.618,-0.833333333,May,2,Saturday,2017,No
Standard Class,Corporate,Dallas,Texas,75081,Central,Office Supplies,Binders,1.964,2,0.8,-3.2406,5,41-100%,0.3928,-1.65,May,2,Saturday,2016,No
First Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Fasteners,2.96,2,0.0,1.4208,3,No Discount,2.96,0.48,November,4,Saturday,2017,No
Standard Class,Consumer,San Diego,California,92037,West,Furniture,Furnishings,39.92,4,0.0,11.1776,6,No Discount,39.92,0.28,December,4,Sunday,2016,No
First Class,Consumer,Dublin,Ohio,43017,East,Technology,Machines,479.988,4,0.7,-383.9904,3,41-100%,143.9964,-0.8,December,4,Thursday,2015,Yes
Second Class,Corporate,New York City,New York,10024,East,Office Supplies,Storage,65.12,4,0.0,16.9312,5,No Discount,65.12,0.26,September,3,Friday,2017,No
Standard Class,Consumer,Tulsa,Oklahoma,74133,Central,Furniture,Chairs,1805.88,6,0.0,523.7052,6,No Discount,1805.88,0.29,March,1,Tuesday,2017,No
Standard Class,Corporate,Grapevine,Texas,76051,Central,Office Supplies,Art,33.488,7,0.2,5.8604,4,11-20%,26.7904,0.175,April,2,Friday,2016,No
Same Day,Home Office,New York City,New York,10011,East,Furniture,Tables,79.974,3,0.4,-29.3238,0,31-40%,47.9844,-0.366666667,November,4,Sunday,2017,No
Standard Class,Corporate,Jacksonville,Florida,32216,South,Office Supplies,Labels,4.608,2,0.2,1.6704,5,11-20%,3.6864,0.3625,August,3,Sunday,2015,No
Standard Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Paper,33.36,4,0.0,16.68,6,No Discount,33.36,0.5,November,4,Wednesday,2016,No
Standard Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Supplies,13.712,2,0.2,1.0284,5,11-20%,10.9696,0.075,December,4,Friday,2016,No
Standard Class,Consumer,New York City,New York,10009,East,Furniture,Chairs,442.764,4,0.1,59.0352,4,0-10%,398.4876,0.133333333,May,2,Saturday,2016,No
First Class,Consumer,Roseville,California,95661,West,Office Supplies,Binders,8.32,5,0.2,2.808,1,11-20%,6.656,0.3375,November,4,Wednesday,2016,No
Second Class,Corporate,Concord,New Hampshire,3301,East,Office Supplies,Binders,22.92,4,0.0,11.0016,2,No Discount,22.92,0.48,October,4,Tuesday,2014,No
Standard Class,Home Office,Los Angeles,California,90004,West,Office Supplies,Binders,4.176,1,0.2,1.305,4,11-20%,3.3408,0.3125,November,4,Friday,2016,No
Standard Class,Corporate,Oakland,California,94601,West,Furniture,Chairs,1159.056,9,0.2,43.4646,4,11-20%,927.2448,0.0375,December,4,Saturday,2017,No
Second Class,Corporate,New York City,New York,10009,East,Office Supplies,Art,41.86,7,0.0,10.465,4,No Discount,41.86,0.25,July,3,Thursday,2016,No
First Class,Consumer,Louisville,Colorado,80027,West,Technology,Accessories,196.752,6,0.2,56.5662,3,11-20%,157.4016,0.2875,June,2,Sunday,2014,No
